timestamp,energy_kwh,temperature,humidity,wind_speed,PowerConsumption_Zone1,PowerConsumption_Zone2,PowerConsumption_Zone3
2023-01-01 00:00:00,32.59,4.9,71.6,4.7,15.34,11.11,6.49
2023-01-01 01:00:00,30.25,2.0,75.9,1.7,14.25,9.57,6.35
2023-01-01 02:00:00,30.16,5.6,75.7,4.0,14.22,9.19,6.51
2023-01-01 03:00:00,29.54,0.2,76.9,3.4,13.64,10.18,6.13
2023-01-01 04:00:00,22.33,6.0,67.3,2.8,10.94,7.01,4.44
2023-01-01 05:00:00,20.27,4.5,71.1,4.9,8.97,6.6,3.96
2023-01-01 06:00:00,24.05,7.1,74.3,1.5,10.73,7.88,4.82
2023-01-01 07:00:00,22.77,7.4,78.3,3.7,9.91,8.85,4.34
2023-01-01 08:00:00,21.74,8.6,76.9,5.9,9.82,7.93,4.36
2023-01-01 09:00:00,27.08,10.2,79.7,2.0,12.19,9.33,5.41
2023-01-01 10:00:00,27.38,11.8,70.3,2.4,12.41,9.42,5.4
2023-01-01 11:00:00,29.43,11.1,71.8,4.4,13.23,10.16,6.16
2023-01-01 12:00:00,31.96,14.0,66.0,5.2,14.85,11.0,6.04
2023-01-01 13:00:00,25.82,11.3,69.4,2.4,11.65,9.17,5.37
2023-01-01 14:00:00,24.23,13.1,78.7,2.8,10.86,8.05,5.21
2023-01-01 15:00:00,24.32,14.2,68.3,4.9,11.15,7.86,4.79
2023-01-01 16:00:00,20.38,13.9,69.0,2.5,8.55,7.63,4.18
2023-01-01 17:00:00,21.64,12.3,63.5,4.4,9.14,7.12,4.51
2023-01-01 18:00:00,17.83,10.0,74.0,1.8,7.91,6.55,4.0
2023-01-01 19:00:00,17.33,10.7,74.4,3.1,8.11,5.57,3.17
2023-01-01 20:00:00,26.58,7.1,81.0,4.6,11.98,9.68,5.26
2023-01-01 21:00:00,25.16,9.4,75.8,3.3,11.18,8.59,5.15
2023-01-01 22:00:00,28.71,5.5,76.8,0.6,13.0,9.86,5.78
2023-01-01 23:00:00,27.04,2.3,80.4,3.1,12.75,9.78,5.77
